Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class,Rdelta,Rtheta,Ralpha,Rbeta,Rgamma,,(Theta+alpha)/beta,Alpha/beta,(Theta+alpha)/(alpha+beta),Theta/beta,,rdelta,rtheta,ralpha,rbeta
7264.55,1909.117,961.173,2283.757,383.573,0,0.567446769,0.149124484,0.075078912,0.178388273,0.029961561,,1.503464691,0.420873587,0.684563858,0.835954526,,,0.370411252,0.186488986,0.443099762
5829.27,2317.125,1096.695,2173.422,456.981,0,0.490948199,0.195151081,0.092364985,0.18304824,0.038487495,,1.473299887,0.504593678,0.760223643,1.066118315,,,0.414717136,0.196285573,0.388997291
10501.824,2791.742,950.905,1744.268,356.273,0,0.642509409,0.170800853,0.058177076,0.106715615,0.021797047,,1.340613495,0.545159918,0.825096726,1.600523543,,,0.508799936,0.173304124,0.31789594
13732.637,2264.226,1242.113,3689.798,925.959,0,0.628359861,0.103603462,0.056834966,0.168832902,0.042368809,,1.548581723,0.336634417,0.588902396,0.613644975,,,0.314644649,0.172608304,0.512747047
14829.823,2241.991,1080.916,3157.315,686.025,0,0.674203301,0.10192689,0.049141324,0.14353996,0.031188526,,1.482123256,0.342352917,0.615432243,0.710094178,,,0.345974413,0.16680231,0.487223277
6869.536,2031.853,1174.291,3163.459,691.596,0,0.493120858,0.14585397,0.084294978,0.227084859,0.049645335,,1.577940924,0.371204748,0.617122514,0.642288394,,,0.318992094,0.184358586,0.49664932
11021.934,2398.167,1350.191,2882.097,633.307,0,0.602762618,0.131149889,0.073838644,0.157614837,0.034634011,,1.563009582,0.468475211,0.709880794,0.832091009,,,0.361689658,0.203634743,0.434675599
10186.253,2061.526,1085.741,2856.814,603.246,0,0.606556375,0.122756792,0.064652147,0.17011346,0.035921227,,1.526668594,0.380053094,0.639904317,0.721617158,,,0.343354129,0.180833836,0.475812035
17060.476,2448.219,1296.452,2879.664,738.106,0,0.698543749,0.100242694,0.053083422,0.117908274,0.030221861,,1.529549031,0.450209469,0.702844075,0.850175229,,,0.369579588,0.195710513,0.434709899
8130.896,1927.115,1074.756,2296.875,530.186,0,0.582449583,0.138047188,0.076989201,0.16453462,0.037979408,,1.557702057,0.46792098,0.7106719,0.839016054,,,0.363692655,0.202832142,0.433475203
