Theta,Alpha,Beta,Delta,Class
0.116265725,0.054998798,0.092290237,0.019761174,2
0.127169048,0.065353526,0.101920543,0.02336037,2
0.175835286,0.066028413,0.099074851,0.024335009,2
0.138084034,0.119011652,0.323332698,0.073954416,2
0.141553314,0.094463093,0.269835974,0.059515874,2
0.144445507,0.07585759,0.157495305,0.02717279,2
0.159887966,0.085706045,0.131786242,0.028301825,2
0.151259653,0.076363493,0.166884931,0.036861451,2
0.124141514,0.078470184,0.154222326,0.033928856,2
0.174164402,0.098492498,0.174834626,0.034779281,2
0.200384514,0.081893802,0.143221869,0.031249857,2
0.148220338,0.095039839,0.31788006,0.069145574,2
0.148076069,0.090568457,0.241736514,0.057491325,2
0.146998002,0.099422564,0.223709613,0.043259219,2
0.138174838,0.053305668,0.087402855,0.020084761,2
0.136828902,0.067376699,0.101618447,0.024867178,2
0.076233138,0.068131734,0.207665857,0.044617569,2
0.114839391,0.055778503,0.090260564,0.015697792,2
0.128861326,0.071409491,0.119700436,0.02294898,2
0.079198873,0.046569082,0.153508802,0.033119663,2
0.133357294,0.073054557,0.158545871,0.031187831,2
0.133039721,0.110836366,0.278098631,0.071219237,2
