Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class
12367.431,4068.309,1967.658,4016.393,738.964,2
7908.594,3271.169,1705.025,3314.62,616.43,2
25355.219,3624.075,2111.714,4397.716,823.001,2
9407.304,3141.528,1591.764,3724.866,702.768,2
37295.539,3830.863,2547.928,3987.079,827.771,2
8682.104,3038.306,2019.516,3531.561,657.771,2
81976.71,4895.887,2107.685,4589.106,994.217,2
9298.35,2924.233,2303.559,5242.303,928.404,2
37218.321,4065.077,1722.917,4006.494,823.405,2
28089.785,3434.592,2128.482,3945.999,888.346,2
42380.197,5227.162,2383.989,4075.918,1017.567,2
9276.796,2693.421,1415.747,2592.59,454.393,2
14802.724,3436.699,2144.091,4518.542,1070.869,2
10277.845,3544.211,1910.67,3365.848,709.268,2
12860.797,3864.478,2140.848,3440.187,736.82,2
9116.014,3791.824,1984.578,3549.11,738.601,2
8291.896,2752.881,1754.417,2945.379,562.284,2
13372.834,2848.222,1547.627,2488.767,483.787,2
8231.135,3334.044,1869.87,3667.865,688.528,2
8595.005,3197.1,1328.694,2519.83,536.205,2
11055.082,2592.13,1800.674,3553.343,842.471,2
7930.999,3317.517,2035.128,4400.922,913.061,2
7818.834,3227.782,1796.02,4288.492,871.405,2
7713.294,2885.025,1580.34,3819.442,633.938,2
7360.142,2402.528,1468.511,2997.04,507.179,2
22736.514,3825.293,2308.215,4877.512,1054.046,2
17280.197,3616.032,2087.954,4779.686,986.89,2
18524.77,3200.004,1921.655,3455.003,725.882,2
10344.318,1923.447,1269.776,2549.19,481.922,2
14073.268,2125.38,1341.931,2510.525,473.562,2
8702.192,3278.196,1459.69,3371.988,712.8,2
8436.714,2368.132,979.359,1855.375,394.952,2
9682.31,2048.023,1088.034,1647.636,277.263,2
16011.989,3153.299,1925.913,3106.047,680.146,2
96877.695,5692.289,2575.507,7522.999,1955.104,2
87100.541,3548.462,1047.185,2048.209,543.422,2
8175.293,1845.394,734.117,1177.368,223.961,2
9016.233,2500.209,1189.308,2014.754,458.246,2
8465.394,2117.318,697.756,1140.601,212.537,2
6885.698,1707.939,588.566,854.463,189.365,2
6961.183,1938.75,732.758,1075.487,245.647,2
8450.266,1381.881,688.783,956.344,218.904,2
9199.981,1663.05,816.869,1033.88,225.184,2
11501.287,3201.182,1931.099,3991.551,856.998,2
