Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,MedianNN,MeanNN,SDNN,MedianX,MeanX,SDX,Class
15870.742,1862.539,991.889,1673.304,407.401,701.5,696.167,50.401,40.32,40.336,0.079,0
12770.001,1900.19,1096.024,2796.846,593.107,691.5,701.167,46.047,40.32,40.38,0.12,0
28072.061,2221.254,1272.06,2935.927,721.549,721,713,46.687,40.395,40.396,0.119,0
30548.487,2497.905,1017.038,2550.501,777.918,711,717.833,43.091,40.32,40.366,0.094,0
27879.552,2312.274,1027.205,2778.89,753.586,701,696.083,33.802,40.32,40.381,0.118,0
22302.106,2327.941,1014.447,2623.683,598.216,660.5,667.917,29.711,40.32,40.308,0.101,0
8343.469,1719.863,981.542,2188.305,468.345,681,681.167,31.363,40.32,40.294,0.143,0
20669.558,2457.47,1157.35,3059.001,670.628,681,686.083,29.573,40.32,40.264,0.116,0
12553.376,2605.898,1338.152,2857.061,625.947,691,691.25,35.429,40.18,40.236,0.116,0
25042.861,2237.771,1302.837,2610.168,716.42,700.5,691.083,27.846,40.32,40.324,0.13,0
6285.918,1738.733,621.644,1559.986,357.861,691.5,682.833,23.811,40.32,40.293,0.086,0
6217.344,1979.414,678.209,973.357,236.22,691,696.083,21.899,40.32,40.322,0.131,0
7721.829,2314.397,1191.179,3269.351,660.643,661,666.25,30.652,40.32,40.294,0.108,0
8625.914,1857.614,1142.132,2148.865,561.543,710.5,701.167,31.419,40.32,40.351,0.088,0
8952.49,1728.744,872.743,2021.005,487.121,681.5,697.75,47.396,40.32,40.351,0.088,0
13730.24,2118.186,722.369,2043.312,400.139,711,714.5,27.293,40.32,40.352,0.128,0
29337.891,2262.681,1214.508,2455.52,599.946,691,694.5,34.856,40.32,40.308,0.166,0
17690.392,2055.813,943.376,2345.316,495.747,681,677.833,28.109,40.32,40.307,0.077,0
19359.328,1929.573,1035.167,2461.613,523.017,641,647.833,17.425,40.32,40.308,0.101,0
23301.619,2217.899,972.397,2170.151,586.561,671,687.917,62.604,40.32,40.279,0.092,0
19649.275,2148.123,1240.426,2670.985,674.345,690.5,701.083,36.383,40.25,40.25,0.07,0
6856.239,2400.28,1039.686,2172.714,439.255,681.5,674.333,61.531,40.18,40.193,0.121,0
22779.856,2188.129,1074.023,2065.796,482.213,690.5,691,44.127,40.18,40.222,0.064,0
14983.024,2497.553,1469.363,3903.956,905.208,710.5,702.833,33.221,40.25,40.25,0.07,0
20294.677,2135.856,1108.571,3123.597,805.295,661,671.083,32.224,40.32,40.293,0.086,0
26938.057,2512.05,1381.283,3412.087,816.208,671.5,677.833,45.391,40.32,40.351,0.088,0
13543.444,2626.082,1044.495,3172.615,723.59,671.5,686.167,38.604,40.32,40.306,0.102,0
6278.018,1886.856,852.409,1862.903,426.235,721,706.25,44.153,40.32,40.294,0.108,0
12809.517,1705.975,725.668,1698.242,377.038,700,704.333,33.505,40.32,40.292,0.109,0
15510.907,1862.081,941.391,2081.972,423.054,682,706.25,32.752,40.32,40.38,0.073,0
17284.906,1924.52,787.974,1427.606,331.189,680.5,677.833,57.157,40.32,40.321,0.065,0
