Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,ECG,EMG,Class
24954.237,2776.764,1232.171,3357.672,648.118,761.1,42.7,1
12355.767,2367.977,1116.812,2939.251,571.851,831.2,42.7,1
24407.461,2361.114,1531.85,2876.484,602.814,803.2,42.64,1
9003.466,2800.146,1317.567,3262.885,608.809,811.2,42.55,1
17172.676,2355.642,1278.24,3025.748,589.581,847.3,42.67,1
18791.061,2495.433,1307.537,3046.675,741.209,815.2,42.67,1
22617.857,2723.439,1217.605,3528.891,672.456,835.3,42.64,1
18392.887,2481.027,1307.142,3358.858,680.036,791.1,42.67,1
21508.984,2767.906,1287.047,3183.445,625.358,819.2,42.61,1
14711.662,2618.546,955.155,2920.065,558.261,803.2,42.67,1
18290.906,2767.253,1491.965,3194.356,770.087,771.2,42.64,1
23564.43,2702.61,1500.506,3445.136,762.267,817.2,42.464,1
16563.702,2470.678,1334.852,3469.412,708.144,761.1,42.26,1
16267.286,2636.68,1397.108,2985.569,567.283,783.3,42.23,1
25242.965,2265.787,1278.792,2287.473,579.876,783.2,42.08,1
7362.65,2333.288,1554.077,2030.195,392.399,789.2,42.08,1
13915.496,2606.997,1355.497,2397.662,507.64,747.2,42.082,1
11066.319,2500.995,1283.4,2344.756,467.149,751.2,42.318,1
16592.831,2657.289,1469.458,2395.068,518.897,783.1,42.434,1
13994.91,2068.921,1131.238,2480.866,558.749,763.2,42.464,1
13159.741,2479.307,1308.903,2173.09,418.698,795.2,42.492,1
17140.868,2469.609,1126.563,2206.149,454.491,779.2,42.522,1
20303.987,2691.914,1481.794,2564.926,542.148,855.2,42.464,1
14896.92,2104.431,1189.405,2379.643,440.703,765.3,42.464,1
13043.435,2530.329,1176.213,2972.552,626.441,829.1,42.408,1
22422.773,2486.307,1405.356,2429.345,509.85,837.3,42.32,1
22636.922,2518.221,1609.745,2919.414,621.816,829.1,42.408,1
23595.097,2415.675,1285.405,2408.629,547.375,785.3,42.408,1
21678.813,2246.379,1129.982,2514.408,499.059,791.1,42.408,1
16145.59,2094.789,1239.072,2302.401,506.171,777.3,42.408,1
14175.456,2663.239,1261.09,2471.34,555.953,821.1,42.466,1
19056.818,2612.99,1328.388,2694.542,534.535,789.2,42.142,1
13382.551,2435.477,1224.923,2374.208,528.795,791.3,42.026,1
12762.472,2415.741,1565.942,2393.209,493.763,783.3,41.94,1
12182.296,2913.995,1564.009,2738.12,567.915,747.1,41.908,1
15297.592,2741.268,1097.676,2119.644,473.02,795.3,41.91,1
21963.108,2465.623,1566.512,2675.7,594.093,739.2,41.936,1
11054.478,2537.372,1412.886,2069.458,458.032,759.2,41.79,1
13491.394,2546.531,1533.478,2740.636,533.026,761.1,41.825,1
17527.84,2580.415,1311.363,2570.816,508.783,707.2,41.79,1
13881.428,1860.232,1249.627,2145.367,470.973,723.3,41.678,1
11426.669,2501.808,1358.782,2242.408,453.655,789.2,41.755,1
17384.853,2245.725,1111.186,2177.974,390.377,781.2,41.718,1
17044.145,1889.179,999.656,1879.826,416.483,783.1,41.678,1
11255.341,2238.29,1243.092,3054.237,571.767,785.2,41.718,1
18117.662,1609.548,670.225,1807.235,391.864,771.2,41.752,1
21357.005,1870.462,903.215,1840.242,388.809,723.3,41.752,1
12855.573,2033.137,1309.86,1941.695,381.368,817.1,41.752,1
14218.731,1940.707,926.922,2158.492,486.976,819.3,41.642,1
9822.896,2162.253,882.734,1755.978,405.039,791.2,41.642,1
15500.748,2034.261,899.438,1928.331,377.714,763.1,41.64,1
24879.715,2225.895,1117.948,2421.505,521.557,773.3,41.64,1
15267.802,2876.295,1568.996,3239.806,779.244,797.3,41.605,1
20455.247,2311.282,1013.798,2427.371,497.28,795.1,41.642,1
21659.209,1778.125,1212.797,2732.145,518.099,781.2,41.715,1
14566.375,2386.542,1142.805,2252.873,516.934,799.2,41.64,1
19007.718,2417.554,1225.437,2580.364,590.794,789.2,41.605,1
17350.321,2261.539,1005.684,1895.082,383.247,789.2,41.64,1
13419.355,2076.069,1037.991,2254.528,554.725,785.2,41.678,1
14994.192,2074.72,899.718,2377.856,527.401,779.3,41.678,1
19021.884,2014.223,1095.224,2470.335,436.009,765.1,41.605,1
21188.355,2185.501,1344.609,3068.395,649.57,799.3,41.64,1
18601.212,2123.605,1184.647,2388.997,525.254,791.2,41.677,1
16098.755,2198.094,1148.062,2382.833,485.688,783.3,41.677,1
15259.025,2195.838,1381.297,2762.598,544.229,727.1,41.715,1
24564.687,2419.614,1087.437,2000.279,422.118,741.2,41.57,1
21724.792,1918.969,1222.366,1894.471,384.494,821.1,41.605,1
22484.422,2465.506,1253.396,3161.232,715.139,809.3,41.535,1
11021.11,1956.584,1000.324,1942.885,409.729,815.2,41.57,1
18000.68,2160.122,1133.916,1867.431,515.91,755.2,41.57,1
22534.878,2760.598,1529.181,2496.954,497.271,773.2,41.535,1
20163.737,2496.83,1555.005,3448.688,700.052,827.2,41.57,1
12747.426,2056.222,919.641,2009.607,363.674,783.2,41.68,1
15217.532,2146.329,1217.868,2404.631,507.153,805.1,41.57,1
11010.591,1722.349,922.633,1963.09,374.312,777.1,41.64,1
12666.127,1994.607,1061.607,1848.371,413.983,807.1,41.608,1
12366.77,2132.217,786.663,1962.602,451.73,789.2,41.605,1
13556.635,1939.903,964.3,2152.129,404.495,815.1,41.715,1
12339.823,2179.073,825.557,2331.267,383.055,833.1,41.678,1
13662.065,2090.191,730.617,1998.683,402.899,813.2,41.64,1
19088.065,2261.116,994.582,2479.277,444.811,789,41.64,1
15619.791,1958.968,1068.489,2106.069,463.77,751.1,41.64,1
19913.801,2172.932,1003.951,2266.492,478.302,783,41.678,1
11333.835,2427.719,954.501,1682.963,400.874,713.1,41.645,1
13861.762,2218.61,762.358,1976.305,422.875,819.2,41.608,1
