Rdelta,Rtheta,Ralpha,Rbeta,MedianNN,MedianX,Class
0.801789425,0.071229862,0.029660522,0.079978416,781.5,41.79,1
0.810213252,0.070959065,0.034264953,0.069812619,711.5,41.715,1
0.69408421,0.109770937,0.070720546,0.104833899,811,41.79,1
0.720598771,0.098354141,0.046975982,0.109391385,831.5,41.64,1
0.653600463,0.143873005,0.058735769,0.116840088,791,41.64,1
0.747366456,0.098081617,0.043366281,0.092974217,761,41.64,1
0.798280821,0.071419198,0.035870043,0.077695464,761.5,41.64,1
0.64333853,0.121198284,0.066112698,0.136515527,791,41.64,1
0.765971311,0.086548733,0.037962885,0.090895825,811.5,41.64,1
0.776305301,0.063731222,0.043468842,0.097925028,781,41.715,1
0.698107151,0.114377258,0.054769999,0.107971046,811,41.64,1
0.73610936,0.093624291,0.047457335,0.099929413,781,41.64,1
0.757792507,0.098774963,0.043924248,0.082769589,781.5,41.64,1
0.693769598,0.107331057,0.05366328,0.11655724,781,41.64,1
0.718322946,0.099393084,0.043102562,0.113915343,761.5,41.64,1
0.759730446,0.080447685,0.043743039,0.098664712,761,41.64,1
0.745113047,0.076855674,0.047284733,0.107903664,801.5,41.64,1
0.749332322,0.085547429,0.04772239,0.096238496,781,41.64,1
0.721482693,0.098509902,0.05145161,0.106789175,791,41.64,1
0.689113217,0.099166296,0.062380789,0.124761759,730,41.715,1
0.805554478,0.079346865,0.035660529,0.065595532,721.5,41.57,1
0.800321178,0.070693037,0.045030829,0.069790554,811,41.64,1
0.747495013,0.081965791,0.041669173,0.105095215,812,41.5,1
0.674873453,0.119810672,0.061254457,0.118971819,811.5,41.57,1
0.760226165,0.091228846,0.047888892,0.078867571,731,41.57,1
0.755725114,0.092578857,0.051282305,0.083737345,771,41.5,1
0.71088405,0.088027166,0.054822588,0.121585463,831,41.57,1
0.704411167,0.113624958,0.050818525,0.111049055,801.5,41.715,1
0.708005806,0.099859385,0.056662119,0.111877058,791.5,41.57,1
0.688464216,0.107694097,0.057689892,0.122747019,771,41.64,1
0.70427255,0.110905801,0.059028357,0.102774665,811.5,41.57,1
0.698688281,0.12046436,0.044444282,0.110881582,771,41.64,1
0.712851957,0.102006409,0.05070603,0.113165942,801,41.64,1
0.683314511,0.120665604,0.045715006,0.129093308,841,41.64,1
0.723455615,0.110683152,0.038688805,0.105837473,811,41.64,1
0.755428905,0.089485885,0.039361559,0.09811982,791,41.64,1
0.736189233,0.092329734,0.050359835,0.099262872,731.5,41.64,1
0.770792822,0.084106514,0.038859393,0.087727891,771,41.64,1
0.674637373,0.144508012,0.056815901,0.100177013,701,41.57,1
0.720394285,0.115300924,0.039619664,0.102708359,831.5,41.57,1
0.757941788,0.089255282,0.039832003,0.095024204,771.5,41.715,1
0.727155955,0.09498009,0.041952602,0.112928928,831.5,41.64,1
0.734190794,0.088329231,0.046202389,0.108795173,782,41.64,1
0.725541052,0.084519929,0.041171171,0.120802097,781.5,41.64,1
0.673328438,0.107788995,0.052820806,0.137192622,740.5,41.57,1
0.775842362,0.058033156,0.038221187,0.105888414,731,41.64,1
0.744427807,0.08490446,0.037691673,0.109272442,811.5,41.5,1
0.67350972,0.11932746,0.056587194,0.126803264,831.5,41.64,1
0.628818973,0.105797446,0.062747288,0.166443834,841,41.425,1
0.76766303,0.084756119,0.042164065,0.089800904,811,41.715,1
0.763142901,0.098558418,0.033488017,0.088814092,791,41.57,1
0.702194883,0.079868872,0.055622764,0.134783965,811,41.5,1
0.718708814,0.104431418,0.047918621,0.105471505,821.5,41.5,1
0.676009501,0.098924956,0.059639589,0.140211743,831,41.5,1
0.769893331,0.078784962,0.039389695,0.092916076,821.5,41.5,1
0.717892274,0.101485429,0.04927447,0.107764591,731,41.64,1
0.767237897,0.083026302,0.047727874,0.084000639,781,41.57,1
0.765244756,0.080483839,0.051290048,0.087132233,751.5,41.64,1
0.690367734,0.126545946,0.053368924,0.10655367,780.5,41.06,1
0.730820632,0.104218137,0.046605013,0.100704115,851.5,41.06,1
0.683130703,0.131330402,0.04821779,0.110857121,791,41.06,1
0.737577515,0.094272715,0.048016298,0.097703601,731.5,41.13,1
0.706083277,0.0983761,0.066464664,0.107914876,691.5,41.06,1
0.541497047,0.145227013,0.078793525,0.196938898,841.5,41.06,1
0.614271382,0.156437202,0.063610553,0.138221915,820.5,41.06,1
0.699333091,0.120922337,0.04964673,0.109472805,842,57.77,1
0.701386859,0.109787967,0.062361257,0.105135886,891.5,57.92,1
0.714107451,0.101898823,0.045858116,0.116005456,801.5,57.92,1
0.672195871,0.124221373,0.05498545,0.126005948,811,57.99,1
0.727860288,0.106951149,0.04925956,0.096829374,821,57.92,1
0.72075707,0.092689193,0.05390341,0.112569492,801.5,58.06,1
0.752406547,0.096574593,0.044165149,0.089310423,801,58.06,1
0.748237703,0.096962803,0.050760368,0.087609205,771,57.92,1
0.669955259,0.142153137,0.058120206,0.107936524,721,58.06,1
0.69195409,0.124989054,0.055930018,0.10727941,821,57.99,1
0.651768998,0.145776543,0.060988369,0.119487575,811,58.06,1
0.746644862,0.109496815,0.04800162,0.078436283,711.5,57.99,1
0.659113836,0.099010186,0.060079357,0.154995998,781,57.55,1
0.629887355,0.131366842,0.05747533,0.153519701,781.5,56.525,1
0.698142188,0.122208724,0.051434754,0.108311614,731,52.345,1
0.687628376,0.115990947,0.051079061,0.121982069,721,47.51,1
0.644112718,0.140427693,0.064528879,0.12928777,761,45.31,1
0.670009356,0.115042764,0.058482207,0.130303229,821,43.84,1
